epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,18513.9,1.35864,1.14665,1.39693,0.73882,0.53228,0.65651,0.40775,1.49969,1.2329,1.51646,0.0006536,0.0006536,0.0006536
70,19317.5,1.35534,1.14925,1.40282,0.71836,0.55668,0.66321,0.40787,1.49602,1.20936,1.53191,0.0006338,0.0006338,0.0006338
71,20122.3,1.35732,1.14014,1.39432,0.74425,0.55741,0.66383,0.41118,1.49658,1.19751,1.52483,0.000614,0.000614,0.000614
72,20929.5,1.35783,1.13267,1.39642,0.73365,0.55661,0.66743,0.41103,1.49226,1.19646,1.52047,0.0005942,0.0005942,0.0005942
73,21734,1.33931,1.12445,1.38064,0.7466,0.54562,0.66112,0.40943,1.495,1.19534,1.51163,0.0005744,0.0005744,0.0005744
74,22536.8,1.35531,1.12805,1.39565,0.72979,0.55079,0.65565,0.40742,1.49104,1.22819,1.52522,0.0005546,0.0005546,0.0005546
75,23340.8,1.32829,1.1083,1.38119,0.74123,0.55476,0.66453,0.41096,1.49519,1.1999,1.52476,0.0005348,0.0005348,0.0005348
76,24145.3,1.33887,1.12277,1.38924,0.73051,0.55503,0.66478,0.41253,1.48548,1.18947,1.52371,0.000515,0.000515,0.000515
77,24948.4,1.3264,1.10319,1.38435,0.71446,0.56927,0.66399,0.41096,1.49041,1.18758,1.51816,0.0004952,0.0004952,0.0004952
78,25750.4,1.30034,1.08381,1.36332,0.72582,0.56349,0.66534,0.41596,1.48047,1.19875,1.51956,0.0004754,0.0004754,0.0004754
79,26555.4,1.31413,1.08468,1.36264,0.72107,0.57619,0.6744,0.41953,1.47479,1.17144,1.51157,0.0004556,0.0004556,0.0004556
80,27358,1.28978,1.07171,1.35423,0.74269,0.55714,0.66686,0.41011,1.49785,1.20856,1.52735,0.0004358,0.0004358,0.0004358
81,28161.3,1.30854,1.08086,1.36663,0.72907,0.56561,0.66734,0.41209,1.4966,1.20172,1.52024,0.000416,0.000416,0.000416
82,28964.3,1.29744,1.0723,1.35757,0.73245,0.56164,0.67034,0.41722,1.48446,1.1812,1.52447,0.0003962,0.0003962,0.0003962
83,29766.4,1.2966,1.06448,1.35695,0.72591,0.57593,0.67344,0.42084,1.4799,1.16868,1.51881,0.0003764,0.0003764,0.0003764
84,30570,1.31204,1.07802,1.36335,0.73117,0.57963,0.67597,0.4191,1.48512,1.16944,1.51578,0.0003566,0.0003566,0.0003566
85,31374.3,1.3045,1.07344,1.36387,0.72274,0.5836,0.68016,0.42265,1.48095,1.16979,1.51391,0.0003368,0.0003368,0.0003368
86,32178.8,1.30763,1.07511,1.36513,0.72117,0.58598,0.67814,0.42318,1.47439,1.16631,1.50568,0.000317,0.000317,0.000317
87,32982,1.30267,1.07161,1.36267,0.72037,0.58889,0.6814,0.42426,1.4777,1.15626,1.50979,0.0002972,0.0002972,0.0002972
88,33784.8,1.2903,1.05165,1.34813,0.74113,0.57788,0.68549,0.42772,1.4758,1.14243,1.51335,0.0002774,0.0002774,0.0002774
89,34587.6,1.29974,1.05685,1.36069,0.73936,0.57857,0.68267,0.42615,1.47403,1.1564,1.51242,0.0002576,0.0002576,0.0002576
90,35390.7,1.28613,1.04869,1.34613,0.71735,0.59497,0.68593,0.42778,1.47024,1.14897,1.50303,0.0002378,0.0002378,0.0002378
91,36178.8,1.29032,1.03215,1.37655,0.71725,0.58175,0.67688,0.42102,1.47804,1.17404,1.50219,0.000218,0.000218,0.000218
92,36966.3,1.26901,1.00247,1.36489,0.72524,0.58889,0.68299,0.4242,1.47688,1.15837,1.50837,0.0001982,0.0001982,0.0001982
93,37752.9,1.26183,0.99413,1.36541,0.72353,0.59683,0.68554,0.42628,1.4733,1.14437,1.50882,0.0001784,0.0001784,0.0001784
94,38540.4,1.25359,0.98409,1.35737,0.74411,0.58697,0.68745,0.42756,1.47674,1.15097,1.50311,0.0001586,0.0001586,0.0001586
95,39328.4,1.25277,0.97381,1.3522,0.73826,0.58783,0.68551,0.42784,1.47184,1.14957,1.50586,0.0001388,0.0001388,0.0001388
96,40115.8,1.251,0.97499,1.35618,0.7309,0.60212,0.69106,0.43046,1.4772,1.13541,1.51178,0.000119,0.000119,0.000119
97,40903.3,1.24198,0.95728,1.34525,0.74119,0.5955,0.69153,0.43063,1.4731,1.13716,1.50791,9.92e-05,9.92e-05,9.92e-05
98,41689.3,1.2336,0.96417,1.34743,0.73575,0.60105,0.691,0.43112,1.46876,1.13172,1.50503,7.94e-05,7.94e-05,7.94e-05
99,42477.6,1.23907,0.96226,1.34981,0.73955,0.6,0.6912,0.43137,1.4681,1.13455,1.5065,5.96e-05,5.96e-05,5.96e-05
100,43265.8,1.22583,0.94586,1.34008,0.74097,0.59482,0.69086,0.43138,1.46882,1.1346,1.50646,3.98e-05,3.98e-05,3.98e-05
